Site,Título,URL,Dia,Mês,bolsonaro,caracteres total,palavras total,caracteres sem nome,palavras sem nome
O Globo,"Patrimônio de Flávio Bolsonaro aumentou 397,1% em 12 anos",https://epoca.globo.com/patrimonio-de-flavio-bolsonaro-aumentou-3971-em-12-anos-23665550,2019-05-14,2019-05,Sim,57,10,41,8
Valor,Justiça do Rio quebra sigilo de Flávio e Queiroz,https://www.valor.com.br/politica/6253463/justica-do-rio-quebra-sigilo-de-flavio-e-queiroz,2019-05-14,2019-05,Não,48,7,42,6
Valor,TJ do Rio de Janeiro quebra sigilo de Flávio Bolsonaro,https://www.valor.com.br/politica/6253501/tj-do-rio-de-janeiro-quebra-sigilo-de-flavio-bolsonaro,2019-05-14,2019-05,Sim,54,2,38,0
Valor,"Temos confiança no Flávio Bolsonaro, diz Onyx sobre quebra de sigilo",https://www.valor.com.br/politica/6254879/temos-confianca-no-flavio-bolsonaro-diz-onyx-sobre-quebra-de-sigilo,2019-05-14,2019-05,Sim,68,5,52,3
Congresso em Foco,Justiça autoriza quebra de sigilo fiscal de Flávio Bolsonaro e 88 ex-assessores,https://congressoemfoco.uol.com.br/corrupcao/justica-autoriza-quebra-de-sigilo-fiscal-de-flavio-bolsonaro-e-88-ex-assessores/,2019-05-14,2019-05,Sim,79,7,63,5
R7,MP diz que Flávio Bolsonaro 'tenta interromper investigações'</a,https://noticias.r7.com/brasil/mp-diz-que-flavio-bolsonaro-tenta-interromper-investigacoes-13052019,2019-05-14,2019-05,Sim,64,2,48,0
R7,Caso Queiroz: como estão as investigações sobre ex-assessor de Flávio Bolsonaro?</a,https://noticias.r7.com/brasil/caso-queiroz-como-estao-as-investigacoes-sobre-ex-assessor-de-flavio-bolsonaro-14052019,2019-05-14,2019-05,Sim,83,4,67,2
R7,Justiça determina quebra de sigilos de Flávio Bolsonaro e Queiroz</a,https://noticias.r7.com/brasil/justica-determina-quebra-de-sigilos-de-flavio-bolsonaro-e-queiroz-13052019,2019-05-14,2019-05,Sim,68,7,52,5
Folha,Juiz que quebrou sigilo de Flávio já foi alvo da esquerda e se diz imune a intimidações,https://www1.folha.uol.com.br/poder/2019/05/juiz-que-quebrou-sigilo-de-flavio-ja-foi-alvo-da-esquerda-e-se-diz-imune-a-intimidacoes.shtml,2019-05-15,2019-05,Não,87,4,81,3
Folha,Ministério Público vê indícios de lavagem de dinheiro de Flávio com 19 imóveis,https://www1.folha.uol.com.br/poder/2019/05/ministerio-publico-ve-indicios-de-lavagem-de-dinheiro-de-flavio-com-19-imoveis.shtml,2019-05-15,2019-05,Não,78,10,72,9
O Globo,Flávio Bolsonaro e Queiroz precisam se explicar ao MP,https://oglobo.globo.com/opiniao/flavio-bolsonaro-queiroz-precisam-se-explicar-ao-mp-23665495,2019-05-15,2019-05,Sim,53,6,37,4
O Globo,Caso Flávio Bolsonaro: Quebra de sigilo atinge 55 pessoas da Alerj,https://oglobo.globo.com/brasil/caso-flavio-bolsonaro-quebra-de-sigilo-atinge-55-pessoas-da-alerj-23666204,2019-05-15,2019-05,Sim,66,4,50,2
O Globo,Quebra de sigilo mira negócios imobiliários de Flávio Bolsonaro,https://oglobo.globo.com/brasil/quebra-de-sigilo-mira-negocios-imobiliarios-de-flavio-bolsonaro-23666063,2019-05-15,2019-05,Sim,63,6,47,4
O Globo,Quebra de sigilo atinge 55 pessoas da Alerj ligadas a investigação sobre Flávio Bolsonaro,https://oglobo.globo.com/brasil/quebra-de-sigilo-atinge-55-pessoas-da-alerj-ligadas-investigacao-sobre-flavio-bolsonaro-23666145,2019-05-15,2019-05,Sim,89,6,73,4
O Globo,Defesa de Queiroz tentará suspender quebras de sigilo e investigação que envolve Flávio Bolsonaro,https://oglobo.globo.com/brasil/defesa-de-queiroz-tentara-suspender-quebras-de-sigilo-investigacao-que-envolve-flavio-bolsonaro-23667872,2019-05-15,2019-05,Sim,97,6,81,4
O Globo,Defesa de Queiroz tenta suspender quebras de sigilo e investigação que envolve Flávio Bolsonaro,https://oglobo.globo.com/brasil/defesa-de-queiroz-tenta-suspender-quebras-de-sigilo-investigacao-que-envolve-flavio-bolsonaro-23667872,2019-05-15,2019-05,Sim,95,6,79,4
O Globo,MP aponta indícios de ‘organização criminosa’ em gabinete de Flávio Bolsonaro desde 2007,https://oglobo.globo.com/brasil/mp-aponta-indicios-de-organizacao-criminosa-em-gabinete-de-flavio-bolsonaro-desde-2007-23668817,2019-05-15,2019-05,Sim,88,2,72,0
O Globo,"Flávio Bolsonaro lucrou 292% em transação imobiliária suspeita de lavagem, diz MP",https://oglobo.globo.com/brasil/flavio-bolsonaro-lucrou-292-em-transacao-imobiliaria-suspeita-de-lavagem-diz-mp-23669213,2019-05-15,2019-05,Sim,81,6,65,4
Veja,"EXCLUSIVO: Flávio Bolsonaro comprou 19 imóveis por R$ 9 milhões, diz MP",https://veja.abril.com.br/politica/exclusivo-flavio-bolsonaro-comprou-19-imoveis-por-r-9-milhoes-diz-mp/,2019-05-15,2019-05,Sim,71,10,55,8
Veja,MP-RJ vê organização criminosa no gabinete de Flávio Bolsonaro na Alerj,https://veja.abril.com.br/politica/mp-rj-ve-organizacao-criminosa-no-gabinete-de-flavio-bolsonaro-na-alerj/,2019-05-15,2019-05,Sim,71,5,55,3
Congresso em Foco,"Flávio Bolsonaro comprou 19 imóveis por R$ 9 milhões, diz revista",https://congressoemfoco.uol.com.br/justica/flavio-bolsonaro-comprou-19-imoveis-por-r-9-milhoes-diz-revista/,2019-05-15,2019-05,Sim,65,6,49,4
Folha,Quebra de sigilo de Flávio atinge ex-assessores do presidente Bolsonaro,https://www1.folha.uol.com.br/poder/2019/05/quebra-de-sigilo-de-flavio-atinge-ex-assessores-do-presidente-bolsonaro.shtml,2019-05-16,2019-05,Sim,71,6,55,4
Folha,"Venham pra cima, não vão me pegar', diz Bolsonaro sobre investigação de Flávio",https://www1.folha.uol.com.br/poder/2019/05/venham-pra-cima-nao-vao-me-pegar-diz-bolsonaro-sobre-investigacao-de-flavio.shtml,2019-05-16,2019-05,Sim,78,6,62,4
O Globo,Quebra de sigilo contra Flávio envolve 9 ex-assessores de Jair Bolsonaro,https://oglobo.globo.com/brasil/quebra-de-sigilo-contra-flavio-envolve-9-ex-assessores-de-jair-bolsonaro-23670468,2019-05-16,2019-05,Sim,72,6,56,4
O Globo,Investigação contra Flávio tem quebra de sigilo de 9 ex-assessores de Jair Bolsonaro,https://oglobo.globo.com/brasil/investigacao-contra-flavio-tem-quebra-de-sigilo-de-9-ex-assessores-de-jair-bolsonaro-23670538,2019-05-16,2019-05,Sim,84,12,68,10
O Globo,Defesa de Queiroz desiste de fornecer nomes de colaboradores de Flávio para MP,https://epoca.globo.com/defesa-de-queiroz-desiste-de-fornecer-nomes-de-colaboradores-de-flavio-para-mp-23670632,2019-05-16,2019-05,Não,78,6,72,5
O Globo,Bolsonaro fala sobre quebra de sigilo de filho e diz que Flávio passa por 'esculacho': 'Não vão me pegar',https://oglobo.globo.com/brasil/bolsonaro-fala-sobre-quebra-de-sigilo-de-filhodiz-que-flavio-passa-por-esculacho-nao-vao-me-pegar-23670757,2019-05-16,2019-05,Sim,105,9,89,7
O Globo,Bolsonaro fala sobre quebra de sigilo de filho e diz que Flávio passa por 'esculacho': 'Não vão me pegar',https://oglobo.globo.com/brasil/bolsonaro-fala-sobre-quebra-de-sigilo-de-filho-diz-que-flavio-passa-por-esculacho-nao-vao-me-pegar-23670757,2019-05-16,2019-05,Sim,105,9,89,7
O Globo,"Confio no Flávio', diz Onyx Lorenzoni sobre quebra de sigilo do senador",https://oglobo.globo.com/brasil/confio-no-flavio-diz-onyx-lorenzoni-sobre-quebra-de-sigilo-do-senador-23671467,2019-05-16,2019-05,Não,71,6,65,5
O Globo,"Confio no Flávio', diz Onyx Lorenzoni sobre quebra de sigilo bancário e fiscal do senador",https://oglobo.globo.com/brasil/confio-no-flavio-diz-onyx-lorenzoni-sobre-quebra-de-sigilo-bancario-fiscal-do-senador-23671467,2019-05-16,2019-05,Não,89,6,83,5
Veja,Bolsonaro sobre escândalo do filho Flávio: “querem me atingir”,https://veja.abril.com.br/politica/bolsonaro-sobre-escandalo-do-filho-flavio-querem-me-atingir/,2019-05-16,2019-05,Sim,62,9,46,7
Valor,"Organização criminosa no gabinete de Flávio possuía 3 núcleos, diz MP",https://www.valor.com.br/politica/6258575/organizacao-criminosa-no-gabinete-de-flavio-possuia-3-nucleos-diz-mp,2019-05-16,2019-05,Não,69,11,63,10
Valor,Bolsonaro diz que seu filho Flávio está sendo perseguido pelo MP do RJ,https://www.valor.com.br/politica/6258729/bolsonaro-diz-que-seu-filho-flavio-esta-sendo-perseguido-pelo-mp-do-rj,2019-05-16,2019-05,Sim,70,9,54,7
